"","Sample","downloaded","mapped","asked","circ","path","Type","Cellline","OncotreeLineage","is_ecDNA"
"1363","ENCSR290RGE_ChIP-seq_Input_K562_SRX11165416",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR290RGE_ChIP-seq_Input_K562_SRX11165416","Input","K562","Myeloid","1"
"1364","ENCSR585FQO_ChIP-seq_Input_C4-2B_SRX3322666",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR585FQO_ChIP-seq_Input_C4-2B_SRX3322666","Input","C42B","Prostate","1"
"1365","ENCSR502CWG_ChIP-seq_Input_K562_SRX10475869",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR502CWG_ChIP-seq_Input_K562_SRX10475869","Input","K562","Myeloid","1"
"1366","ENCSR743HNM_ChIP-seq_Input_HepG2_SRX10475191",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR743HNM_ChIP-seq_Input_HepG2_SRX10475191","Input","HEPG2","Liver","0"
"1367","ENCSR585FQO_ChIP-seq_Input_C4-2B_SRX3322667",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR585FQO_ChIP-seq_Input_C4-2B_SRX3322667","Input","C42B","Prostate","0"
"1368","ENCSR933UGQ_ChIP-seq_Input_22Rv1_SRX3322852",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR933UGQ_ChIP-seq_Input_22Rv1_SRX3322852","Input","22RV1","Prostate","0"
"1369","ENCSR239POD_ChIP-seq_Input_MCF-7_SRX3322092",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR239POD_ChIP-seq_Input_MCF-7_SRX3322092","Input","MCF7","Breast","1"
"1370","ENCSR933UGQ_ChIP-seq_Input_22Rv1_SRX3322853",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR933UGQ_ChIP-seq_Input_22Rv1_SRX3322853","Input","22RV1","Prostate","0"
"1371","ENCSR735QJO_ChIP-seq_Input_HepG2_SRX3322843",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR735QJO_ChIP-seq_Input_HepG2_SRX3322843","Input","HEPG2","Liver","0"
"1372","ENCSR735QJO_ChIP-seq_Input_HepG2_SRX3322844",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR735QJO_ChIP-seq_Input_HepG2_SRX3322844","Input","HEPG2","Liver","0"
"1373","ENCSR356LLA_ChIP-seq_Input_HepG2_SRX10476802",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR356LLA_ChIP-seq_Input_HepG2_SRX10476802","Input","HEPG2","Liver","0"
"1374","ENCSR863VLO_ChIP-seq_Input_K562_SRX10475887",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR863VLO_ChIP-seq_Input_K562_SRX10475887","Input","K562","Myeloid","0"
"1375","ENCSR715EHB_ChIP-seq_Input_SK-N-SH_SRX16495674",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR715EHB_ChIP-seq_Input_SK-N-SH_SRX16495674","Input","SKNSH","Peripheral Nervous System","0"
"1376","ENCSR500VBE_ChIP-seq_Input_K562_SRX3322188",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR500VBE_ChIP-seq_Input_K562_SRX3322188","Input","K562","Myeloid","0"
"1377","ENCSR239POD_ChIP-seq_Input_MCF-7_SRX3322093",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR239POD_ChIP-seq_Input_MCF-7_SRX3322093","Input","MCF7","Breast","1"
"1378","ENCSR706XZJ_ChIP-seq_Input_K562_SRX11161296",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR706XZJ_ChIP-seq_Input_K562_SRX11161296","Input","K562","Myeloid","1"
"1379","ENCSR532WSQ_ChIP-seq_Input_K562_SRX10476738",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR532WSQ_ChIP-seq_Input_K562_SRX10476738","Input","K562","Myeloid","0"
"1380","ENCSR388OQM_ChIP-seq_Input_HepG2_SRX10478213",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR388OQM_ChIP-seq_Input_HepG2_SRX10478213","Input","HEPG2","Liver","0"
"1381","ENCSR436OZQ_ChIP-seq_Input_K562_SRX3322361",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR436OZQ_ChIP-seq_Input_K562_SRX3322361","Input","K562","Myeloid","0"
"1382","ENCSR690IYP_ChIP-seq_Input_HepG2_SRX10478646",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR690IYP_ChIP-seq_Input_HepG2_SRX10478646","Input","HEPG2","Liver","0"
"1383","ENCSR411BTN_ChIP-seq_Input_SK-N-SH_SRX13007839",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR411BTN_ChIP-seq_Input_SK-N-SH_SRX13007839","Input","SKNSH","Peripheral Nervous System","1"
"1384","ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630396",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630396","Input","MM1S","Lymphoid","0"
"1385","ENCSR516XLO_ChIP-seq_Input_K562_SRX10476616",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR516XLO_ChIP-seq_Input_K562_SRX10476616","Input","K562","Myeloid","0"
"1386","ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630397",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630397","Input","MM1S","Lymphoid","0"
"1387","ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630398",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR264HOB_ChIP-seq_Input_MM.1S_SRX2630398","Input","MM1S","Lymphoid","0"
"1388","ENCSR233HNT_ChIP-seq_Input_K562_SRX10475205",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR233HNT_ChIP-seq_Input_K562_SRX10475205","Input","K562","Myeloid","1"
"1389","ENCSR436HPW_ChIP-seq_Input_Caco-2_SRX16499937",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR436HPW_ChIP-seq_Input_Caco-2_SRX16499937","Input","CACO2","Bowel","0"
"1390","ENCSR436HPW_ChIP-seq_Input_Caco-2_SRX16499938",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR436HPW_ChIP-seq_Input_Caco-2_SRX16499938","Input","CACO2","Bowel","0"
