ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
L-glutamic_acid	L-glutamic acid	24.41	23.501	24.08	24.775	24.736	24.753	23.73	23.913	23.347	24.476	24.55	23.788	24.682	23.991	24.541	24.82	24.122	24.581	23.886	24.72	24.44	23.304	24.348	24.001	24.663	24.633	25.558	23.19	24.326	24.809	23.626	24.12	23.29	23.69	23.736	24.36	24.65	24.206	22.994	24.128	24.066	24.183	23.709	25.026	24.19	24.276	23.549	24.044	24.136	24.969	24.075	23.983	24.97	25.194	23.434	24.578	24.014	24.142	24.685	24.15	23.784	23.441	23.349	23.986	23.657	24.116	23.888	23.874	24.977	24.317	24.661	24.1	25.644	23.692	24.96
L-glutamine	L-glutamine	NA	NA	NA	NA	NA	21.728	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.303	NA	NA	NA	NA	NA	NA	21.118	NA	NA	NA	NA	NA	NA	21.131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.201	NA	NA	NA	22.899	NA	NA	NA	21.173	NA	NA	NA	NA	21.965	NA	NA	NA	NA	NA	21.799	NA	NA	21.434	NA	NA	NA
linoleic_acid	linoleic acid	19.976	20.082	19.673	20.364	19.768	19.654	19.242	19.477	20.465	19.907	19.946	20.516	20.104	21.023	21.275	20.892	19.062	21.357	20.138	19.338	20.533	19.519	20.788	19.507	20.062	19.433	20.51	19.417	20.16	19.993	23.058	19.649	18.849	20.077	20.261	19.84	19.611	20.199	19.229	20.833	20.063	19.6	20.321	20.321	19.273	20.603	19.451	20.178	21.07	19.401	18.837	18.704	19.527	20.067	18.988	19.964	20.338	19.189	20.767	19.391	19.563	22.012	17.431	19.842	19.328	20.628	20.554	21.152	20.364	20.62	20.012	19.701	19.468	20.844	21.875
L-leucine	L-leucine	23.688	23.892	23.991	23.642	22.753	23.281	23.218	23.334	23.188	23.382	24.145	22.21	24.426	24.525	24.22	23.546	23.098	24.805	23.189	22.662	23.057	24.285	23.589	23.294	23.537	24.105	23.942	22.883	23.847	23.604	24.239	23.782	21.991	23.157	24.232	23.595	22.895	23.585	22.782	24.12	23.527	23.546	23.902	23.768	23.379	24.268	23.1	23.922	23.661	23.523	22.896	23.555	22.797	23.565	22.996	23.737	23.894	23.314	23.197	23.639	22.635	23.418	24.077	23.937	23.631	23.858	23.456	23.75	23.847	23.744	23.821	23.247	23.128	23.851	23.358
L-lysine	L-lysine	23.601	22.918	23.574	22.489	23.593	22.395	23.292	22.852	22.392	23.409	23.689	20.759	24.163	23.613	22.266	23.843	22.765	23.84	22.847	21.933	23.448	23.601	23.127	23.313	23.718	23.824	23.871	22.693	22.951	23.646	23.875	23.777	23.652	23.582	22.614	24.201	23.075	23.584	22.148	24.27	23.53	22.443	23.295	23.05	23.436	23.362	23.159	22.782	24.167	22.871	22.056	23.351	22.537	22.264	22.958	23.696	23.348	22.864	21.984	23.769	22.494	23.992	22.608	24.172	22.293	23.55	22.858	23.315	23.164	23.688	24.147	23.399	22.696	22.872	20.463
L-methionine	L-methionine	21.679	20.456	21.792	19.811	20.681	20.881	18.853	18.362	19.654	20.893	21.947	19.803	20.689	19.99	21.484	21.219	20.929	22.103	16.564	20.218	20.8	22.008	18.309	21.415	21.017	19.227	21.304	19.29	19.514	19.872	22.406	21.533	19.517	20.988	19.024	20.521	21.627	20.12	20.145	21.724	19.928	21.374	19.634	20.376	21.443	19.786	16.789	21.708	19.847	22.24	20.075	21.464	18.304	20.817	20.685	21.823	18.912	21.6	19.49	21.413	15.394	19.78	21.807	19.602	21.211	20.231	19.066	20.491	22.025	21.284	21.871	20.569	21.255	21.337	21.315
L-mimosine	L-mimosine	21.793	22.164	20.632	21.305	21.759	21.669	20.504	21.22	19.965	21.787	21.952	23.153	22.06	21.216	21.564	23.318	22.966	22.17	21.201	21.799	21.622	19.802	21.496	20.873	20.609	20.973	23.097	19.67	22.141	21.787	20.036	21.3	21.967	20.76	21.479	21.806	21.23	22.179	21.526	22.085	22.081	21.88	20.915	22.059	21.986	21.618	21.77	22.223	23.533	22.027	20.66	21.252	22.49	22.224	21.182	21.077	22.037	20.875	21.725	21.513	21.849	21.304	20.915	21.151	20.459	20.794	20.607	20.495	21.282	22.536	20.615	21.365	22.208	21.121	20.374
L-proline	L-proline	23.564	25.118	24.162	24.495	23.405	24.559	23.247	23.573	23.357	23.183	23.911	20.858	23.813	24.212	24.16	23.9	23.312	23.809	23.096	22.799	23.849	24.125	24.661	24.04	23.095	24.53	24.061	23.363	23.675	24.815	23.489	24.057	23.159	26.107	23.878	24.478	20.096	23.783	23.355	24.358	23.045	24.619	24.247	21.011	23.337	23.287	23.411	24.335	24.664	24.317	24.065	23.996	23.852	24.253	21.181	24.298	23.924	23.725	23.496	23.673	23.17	18.679	24.289	24.513	24.86	23.87	24.316	22.818	24.468	23.543	25.335	23.537	21.14	24.727	24.045
L-pyroglutamic_acid	L-pyroglutamic acid	25.803	26.143	25.876	26.11	25.643	25.715	26.064	25.86	25.874	25.737	26.134	25.734	26.718	25.606	25.943	26.079	25.871	25.872	25.461	25.838	25.613	25.694	25.715	25.639	26.009	25.964	25.382	25.727	25.75	25.97	25.864	25.845	25.359	26.251	26.117	25.724	26.466	26.02	25.343	26.033	25.878	25.911	26.042	26.412	25.654	26.015	25.73	26.32	26.298	25.958	25.584	25.545	26.089	26.159	25.621	25.873	25.98	25.631	26.054	25.572	25.202	26.162	25.969	25.864	25.694	25.85	25.612	25.862	26.175	26.326	25.862	25.845	26.753	25.958	27.043
L-serine	L-serine	25.174	24.958	24.932	24.58	25.223	25.208	24.527	25.318	23.473	24.389	24.302	24.264	25.717	23.493	25.545	25.477	25.204	25.811	24.521	24.972	24.612	24.459	25.042	23.942	24.786	25.503	26.103	24.979	25.147	25.928	24.832	25.521	24.992	25.755	24.761	24.467	23.729	24.971	24.464	25.716	24.288	25.32	25.391	25.152	24.601	25.346	24.768	25.626	25.036	25.261	25.05	24.006	25.078	25.638	24.408	25.077	25.005	25.126	24.765	25.048	24.506	22.289	25.007	25.567	25.605	25.072	24.001	24.276	25.028	25.544	25.17	25.452	24.882	25.345	25.462
L-threonine	L-threonine	24.672	24.759	24.711	24.097	24.709	24.257	23.942	24.453	24.212	23.88	24.523	24.112	25.016	24.342	24.555	24.758	24.368	24.544	24.114	24.321	23.924	24.615	24.561	24.267	24.282	24.844	25.353	24.188	24.189	24.787	24.507	24.579	24.225	25.001	24.532	25.232	24.476	24.463	23.809	24.764	23.894	24.465	24.676	24.374	24.112	24.507	24.713	25.084	24.295	24.703	24.054	24.265	24.51	24.976	23.994	24.604	24.621	24.626	23.833	24.402	24.024	23.54	24.552	24.738	24.784	24.35	24.053	24.573	24.693	24.871	24.915	24.36	24.381	24.596	24.604
L-tyrosine	L-tyrosine	NA	NA	NA	NA	18.549	19.914	NA	NA	NA	NA	NA	NA	NA	NA	22.33	NA	NA	NA	NA	NA	NA	NA	19.611	NA	18.038	19.028	NA	NA	NA	20.368	NA	17.436	NA	NA	NA	NA	NA	NA	NA	19.812	NA	NA	NA	NA	NA	NA	NA	NA	19.35	19.525	NA	18.686	NA	NA	NA	NA	19.338	NA	NA	NA	NA	NA	19.864	NA	NA	NA	NA	NA	NA	NA	21.165	NA	NA	NA	NA
L-valine	L-valine	24.468	24.13	24.372	24.184	23.858	24.121	23.749	23.689	24.161	24.19	24.696	23.675	24.799	24.822	24.323	23.916	23.862	24.781	23.853	23.65	23.546	24.897	24.234	24.177	24.53	24.622	24.751	23.922	24.384	24.507	24.961	24.299	23.242	23.779	24.722	24.458	23.792	24.067	23.512	24.64	24.267	24.045	24.454	23.688	23.792	24.817	23.929	24.245	24.243	24.267	23.872	24.113	23.965	24.449	22.579	24.424	24.214	23.983	23.973	24.007	23.745	24.011	24.854	24.466	23.979	24.303	24.425	24.663	24.436	24.177	24.678	23.829	23.801	24.459	24.414
maltose	maltose	21.705	21.287	21.125	22.057	21.582	21.626	21.885	21.658	20.245	21.087	21.668	20.544	22.744	21.087	22.289	20.7	21.52	22.278	20.94	20.726	20.363	22.693	23.017	20.967	20.845	21.732	20.936	22.123	21.932	20.77	21.319	21.002	20.442	20.804	20.846	19.639	21.207	21.431	22.277	21.671	22.601	20.175	21.186	22.278	21.251	21.604	20.401	21.883	22.099	20.986	21.194	21.101	20.47	21.333	21.201	21.922	21.201	20.679	20.252	21.117	19.225	21.981	21.36	20.224	21.767	21.38	21.307	22.631	21.223	22.45	21.319	20.965	21.146	20.7	20.956
myo-inositol	myo-inositol	25.592	25.905	26.299	26.15	25.578	25.389	26.11	25.171	26.504	26.41	25.625	26.788	26.063	26.672	24.931	26.262	25.661	26.768	25.174	25.912	24.606	26.609	25.283	24.871	23.927	25.189	26.124	25.104	25.702	25.708	23.848	25.328	25.39	26.003	26.549	25.883	25.61	26.203	25.345	25.446	25.142	26.01	26.366	25.713	25.812	25.256	25.099	25.211	25.662	26.056	26.196	25.637	26.137	26.23	25.313	25.237	24.967	25.258	26.152	25.347	25.394	24.239	26.102	25.565	25.524	25.414	26.161	26.304	26.194	26.433	25.539	25.228	26.26	24.631	25.64
myristic_acid	myristic acid	22.928	23.06	22.655	23.016	21.917	22.912	22.819	22.722	23.093	22.709	23.346	22.9	23.147	23.167	23.19	22.184	22.823	24.361	22.415	23.005	22.525	23.22	22.838	22.111	22.196	22.021	22.242	23.497	23.05	21.704	23.502	22.44	21.431	22.589	23.531	22.836	23.463	21.797	22.959	22.394	23.285	22.787	23.208	23.703	21.549	22.913	22.6	23.383	23.418	22.999	23.395	21.543	23.052	22.806	21.574	22.217	22.648	22.05	22.989	21.278	21.583	24.023	23.335	22.238	22.42	23.727	22.94	22.883	22.909	23.162	22.176	22.179	23.262	23.017	22.768
N-acetyl-L-aspartic_acid	N-acetyl-L-aspartic acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.653	NA	NA	NA	19.866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.331	NA	NA	NA	20.365	21.247	NA	NA	NA	NA	19.366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.776
N-formylglycine	N-formylglycine	20.181	22.142	21.322	20.353	22.693	20.732	20.076	20.086	18.773	20.869	21.141	21.092	21.902	20.756	21.482	20.371	19.393	22.928	20.199	19.612	20.857	20.463	20.221	21.329	21.386	20.292	20.995	19.645	20.868	21.509	21.622	18.308	20.044	20.286	20.331	21.262	21.738	20.413	20.199	20.348	21.02	20.16	20.961	22.827	19.84	22.012	19.993	20.674	21.91	20.567	21.401	20.775	22.508	20.612	21.213	20.376	20.568	19.715	20.806	21.434	19.737	22.505	20.183	20.254	21.467	20.981	18.195	21.538	20.615	21.172	20.315	21.219	22.092	20.468	20.223
N-methylalanine	N-methylalanine	22.208	20.668	21.14	20.34	21.827	22.504	22.073	20.33	21.994	22.268	21.201	21.201	20.82	21.151	21.52	19.018	18.93	21.152	20.817	22.355	20.676	21.201	21.201	21.427	21.601	22.162	20.123	22.402	22.172	21.757	20.582	22.265	21.358	22.264	22.863	23.318	21.347	21.192	20.84	22.201	21.336	22.702	22.021	21.378	21.176	20.701	22.119	21.876	23.6	22.651	21.856	21.63	22.137	21.867	19.52	22.503	22.068	22.392	21.611	21.362	21.406	21.125	22.105	23.051	22.125	21.409	21.35	22.499	21.65	22.581	22.78	22.108	22.53	22.34	21.532
oleic_acid	oleic acid	22.642	23.607	22.663	22.842	22.742	22.229	22.397	22.354	22.986	21.93	23.16	22.923	23.01	22.858	23.834	22.935	22.62	23.55	22.516	22.662	22.961	22.827	22.253	22.39	22.814	22.533	23.316	22.864	22.536	22.385	25.728	22.733	21.81	23.017	23	22.986	22.24	22.648	22.776	23.041	23.146	22.526	22.605	23.36	22.284	23.261	22.893	23.23	24.336	22.719	21.668	22.151	22.882	23.031	22.131	22.298	22.572	22.361	23.106	21.649	21.988	24.475	22.751	22.717	22.603	22.679	22.879	22.896	22.717	23.125	22.45	22.321	22.733	23.637	24.843
O-phosphocolamine	O-phosphocolamine	25.214	24.99	23.85	25.058	24.598	24.56	24.85	24.508	23.947	24.542	25.159	24.333	25.658	25.68	24.533	26.031	25.053	23.165	24.217	23.444	25.12	24.168	24.437	24.844	24.463	24.606	25.393	24.63	24.214	25.711	23.759	24.973	24.251	24.944	24.446	26.288	24.305	25.79	24.274	25.282	24.819	24.699	23.536	25.316	25.092	24.733	24.491	23.368	26.006	23.915	24.218	24.81	24.671	25.247	25.054	24.765	24.758	24.643	24.707	24.955	23.965	25.423	23.976	25.311	24.184	24.554	24.7	25.714	25.061	24.584	24.56	24.143	24.945	23.39	23.318
palatinitol__(spectral_match)	palatinitol  (spectral match)	19.133	NA	17.596	19.324	18.593	15.243	17.979	14.525	18.812	19.654	NA	16.078	19.337	17.544	18.577	15.099	16.363	18.175	19.48	18.734	19.684	19.079	15.738	19.274	19.291	16.151	15.619	16.735	17.499	NA	18.41	18.059	NA	NA	13.359	NA	NA	17.6	NA	NA	13.469	19.325	19.106	NA	NA	NA	16.728	19.23	16.233	NA	16.594	NA	NA	14.566	18.155	18.169	17.504	17.331	NA	16.617	17.682	18.375	15.178	18.621	NA	11.635	NA	15.603	19.703	19.649	NA	18.547	14.214	18.63	NA
palmitic_acid	palmitic acid	24.203	24.925	24.003	24.234	23.98	23.968	23.99	24.014	24.457	23.974	24.71	24.377	24.53	24.541	25.065	24.214	24.141	25.573	23.809	24.21	24.124	24.393	24.051	23.743	23.923	23.772	24.333	24.677	24.457	23.663	26.609	24.14	23.143	24.301	24.598	24.531	24.395	23.829	24.034	24.462	24.675	24.191	24.273	24.979	23.045	24.76	24.253	24.747	25.275	24.136	24.454	23.161	24.269	24.302	23.311	23.934	24.16	23.58	24.28	23.121	23.392	25.503	24.462	24.103	23.614	24.66	24.059	24.276	24.104	24.639	23.627	23.495	24.116	25.002	25.778
pantothenic_acid	pantothenic acid	20.236	21.634	18.144	19.49	18.082	20.179	18.82	16.231	19.736	19.413	18.991	20.892	19.987	19.864	16.357	18.629	19.396	19.063	20.138	20.525	19.053	18.666	19.809	19.535	19.88	19.976	19.179	18.838	19.978	20.959	18.08	19.144	18.626	21.094	19.149	18.6	19.747	18.731	19.211	19.954	18.483	20.459	19.508	20.133	19.046	18.275	18.88	18.854	19.132	20.324	18.63	19.734	20.668	20.148	17.96	19.972	20.022	19.375	19.993	19.672	19.271	16.986	20.341	19.17	19.915	17.896	19.215	18.489	19.254	18.923	19.788	19.972	19.492	19.234	20.116
phenylalanine	phenylalanine	23.244	22.989	23.219	22.103	22.175	22.716	22.432	22.458	22.312	21.376	23.374	22.339	23.803	23.68	23.267	23.523	22.265	23.27	22.761	22.096	22.404	23.198	22.932	22.786	22.872	22.92	22.956	22.66	22.906	24.005	23.598	23.277	22.236	22.674	20.635	22.654	22.42	23.094	22.475	23.665	23.018	22.419	21.761	22.522	21.821	22.819	20.535	22.999	22.579	22.428	20.964	22.903	21.355	22.822	22.469	22.889	22.779	22.314	22.217	22.572	22.019	23.15	23.209	22.253	22.694	23.185	22.799	23.039	23.412	23.302	23.22	22.815	22.767	23.276	22.616
phosphoenolpyruvic_acid	phosphoenolpyruvic acid	19.21	NA	18.956	20.118	20.46	14.898	16.747	17.955	22.107	20.495	20.764	19.168	17.153	19.278	16.157	18.759	16.285	15.453	20.619	17.476	20.983	19.329	18.971	19.481	19.456	17.172	17.88	15.995	14.121	19.057	16.594	19.257	15.439	18.774	17.214	18.16	19.434	14.509	16.411	20.171	21.111	16.009	17.351	18.381	14.803	15.802	16.495	20.949	18.36	15.213	14.186	19.238	19.319	15.171	17.855	21.13	15.818	15.394	19.972	16.877	17.713	19.861	17.643	16.98	20.578	19.903	15.793	21.785	16.378	20.707	16.561	18.543	16.385	15.126	NA
phosphoric_acid_(spectral_match)	phosphoric acid (spectral match)	20.195	20.632	20.675	20.482	20.124	19.755	20	19.732	20.449	21.323	20.288	21.05	21.005	20.336	20.436	20.71	20.328	20.003	21.211	20.335	20.378	19.897	19.881	21.019	19.2	19.992	20.739	20.224	19.98	20.937	21.01	20.3	19.417	20.628	20.67	20.586	20.859	20.838	19.948	20.614	20.727	19.661	19.651	20.662	20.069	20.4	19.546	20.262	21.521	20.682	21.171	19.691	20.49	19.956	20.492	20.295	20.157	19.982	20.067	20.058	20.077	21.345	20.863	20.454	19.983	20.474	20.384	20.171	20.226	20.274	20.078	19.651	19.685	19.834	20.134
porphine	porphine	24.097	24.553	24.45	24.004	23.608	23.873	23.958	23.798	24.617	24.391	24.606	24.512	25.277	24.62	24.078	24.067	23.826	25.413	24.056	24.116	23.969	24.373	23.727	24.078	23.706	23.971	24.444	24.546	24.373	23.622	24.926	23.947	23.168	23.916	24.449	24.196	24.509	24.025	23.978	24.356	24.455	23.958	23.968	24.833	23.533	24.931	23.818	24.339	24.898	24.367	24.3	23.34	24.129	24.173	23.354	24.066	23.973	23.691	24.112	23.487	23.637	25.727	24.171	24.147	23.871	24.528	24.089	24.414	23.956	24.89	23.878	23.802	24.189	24.237	23.324
