header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
HEYA8	HEYA8	CCLE	0	OV	Solid Tumor	Reproductive System
HL60	HL60	CCLE	0	AML	Hematological (Leukemia)	Hematological
HS578T	HS578T	CCLE	0	BRCA	Solid Tumor	Reproductive System
HT1080	HT1080	CCLE	0	FSA	Solid Tumor	Mesenchymal tumors
HT1376	HT1376	CCLE	0	BLCA	Solid Tumor	Urinary System
HumanBcell_HB_913613	HB_913613	GEO	1	HumanBcell	Normal Tissue	NA
HumanBcell_HB_913614	HB_913614	GEO	1	HumanBcell	Normal Tissue	NA
HumanBcell_HB_913615	HB_913615	GEO	1	HumanBcell	Normal Tissue	NA
IM95	IM95	CCLE	0	GC	Solid Tumor	Digestive System
JEKO1	JEKO1	CCLE	0	MCL	Hematological (Lymphoma)	Hematological
JURKAT	JURKAT	CCLE	0	TALL	Hematological (Leukemia)	Hematological
KNS42	KNS42	CCLE	0	GBM	Solid Tumor	Central Nervous System
LNCAPCLONEFGC	LNCAPCLONEFGC	CCLE	0	PRAD	Solid Tumor	Reproductive System
mammary_epithelial	mammary_epithelial	ENCODE	1	mammary_epithelial	Normal Tissue	NA
MAVER1	MAVER1	CCLE	0	MCL	Hematological (Lymphoma)	Hematological
MB_DAOY_rep1	DAOY	GEO	0	MB	Solid Tumor	Central Nervous System
MB_DAOY_rep2	DAOY	GEO	0	MB	Solid Tumor	Central Nervous System
MCF10A	MCF10A	ENCODE	0	BRCA	Solid Tumor	Reproductive System
MCF7	MCF7	CCLE	0	BRCA	Solid Tumor	Reproductive System
MDAMB231	MDAMB231	CCLE	0	BRCA	Solid Tumor	Reproductive System
MDAMB436	MDAMB436	CCLE	0	BRCA	Solid Tumor	Reproductive System
MDAMB468	MDAMB468	CCLE	0	BRCA	Solid Tumor	Reproductive System
MEL_M14_rep1	M14	GEO	0	MEL	Solid Tumor	Neural crest derived tumors
MEL_M14_rep2	M14	GEO	0	MEL	Solid Tumor	Neural crest derived tumors
MEL_M14_rep3	M14	GEO	0	MEL	Solid Tumor	Neural crest derived tumors
MG63.x	MG63	GEO	0	OV	Solid Tumor	Reproductive System
MG63.y	MG63	GEO	0	OV	Solid Tumor	Reproductive System
MINO	MINO	CCLE	0	MCL	Hematological (Lymphoma)	Hematological
MKN1	MKN1	CCLE	0	GC	Solid Tumor	Digestive System
MKN7	MKN7	CCLE	0	GC	Solid Tumor	Digestive System
MM_NSD2_High_1	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_High_2	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
