ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
U343	GBM	GSE147123	U343	0	28529419	Solid Tumor	Central Nervous System
U87	GBM	GSE147123	U87	0	24762692	Solid Tumor	Central Nervous System
U937	AML	GSE165038	U937	0	317598524	Hematological (Leukemia)	Hematological
uterine_smooth_muscle_cell	UCEC	GSE226015	uterine_smooth_muscle_cell	1	53231152	Normal	Reproductive System
UWB1289	OV	GSE122154	UWB1.289	0	61777224	Solid Tumor	Reproductive System
UWB1289_2	OV	GSE122154	UWB1.289_mut	0	29455284	Solid Tumor	Reproductive System
VAESBJ	ES	GSE90634	VA-ES-BJ_BAF47	0	40918559	Solid Tumor	Mesenchymal tumors
VAESBJ_2	ES	GSE90634	VA-ES-BJ_empty	0	40664483	Solid Tumor	Mesenchymal tumors
VCaP	PRAD	GSE172097	VCaP	0	37763101	Solid Tumor	Reproductive System
WERIRB1	RB	GSE230795	WERI-RB1	0	98932899	Solid Tumor	Central Nervous System
WSU-DLCL2	DLBCL	GSE168470	WSU-DLCL2	0	26954446	Hematological (Lymphoma)	Hematological
YCC10	GC	GSE135941	YCC10	0	66046099	Solid Tumor	Digestive System
ZR7530	BRCA	GSE167150	ZR7530	0	70224806	Solid Tumor	Reproductive System
